,Pick,Team,Name,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,Year,Height,Weight,Birthday,Position1,Position2,Position3,All_Star_apps,All_NBA_apps,All_Def_apps,HOF
0,1,NYK,Patrick Ewing,Georgetown,17,1183,40594,24815,11607,2215,.504,.152,.740,34.3,21.0,9.8,1.9,126.4,.150,2.9,50.1,1985,213cm,108kg,1962-08-05,Center,Power Forward,Center,11,7,3,Hall of Fame
1,2,IND,Wayman Tisdale,Oklahoma,12,840,23868,12878,5117,1077,.505,.000,.760,28.4,15.3,6.1,1.3,45.7,.092,-1.6,2.3,1985,206cm,108kg,1964-06-09,Power Forward,Power Forward,Power Forward,0,0,0,0
2,3,LAC,Benoit Benjamin,Creighton,15,807,21911,9223,6063,1070,.497,.048,.721,27.2,11.4,7.5,1.3,32.7,.072,-1.1,4.8,1985,213cm,113kg,1964-11-22,Center,Center,Center,0,0,0,0
3,4,SEA,Xavier McDaniel,Wichita State,12,870,25201,13606,5313,1775,.485,.261,.718,29.0,15.6,6.1,2.0,47.8,.091,-0.5,9.6,1985,201cm,92kg,1963-06-04,Power Forward,Small Forward,Power Forward,1,0,0,0
4,5,ATL,Jon Koncak,SMU,11,784,16409,3520,3856,785,.470,.226,.597,20.9,4.5,4.9,1.0,29.2,.085,-1.2,3.3,1985,213cm,113kg,1963-05-17,Center,Center,Center,0,0,0,0
5,6,SAC,Joe Kleine,Arkansas,15,965,14712,4666,3991,622,.453,.271,.794,15.2,4.8,4.1,0.6,19.1,.062,-3.9,-7.0,1985,211cm,115kg,1962-01-04,Center,Center,Center,0,0,0,0
6,7,GSW,Chris Mullin,St. John's,16,986,32163,17911,4034,3450,.509,.384,.865,32.6,18.2,4.1,3.5,93.1,.139,3.1,41.6,1985,198cm,90kg,1963-07-30,Small Forward,Shooting Guard,Small Forward,5,4,0,Hall of Fame
7,8,DAL,Detlef Schrempf,Washington,16,1136,33597,15761,7023,3833,.491,.384,.803,29.6,13.9,6.2,3.4,109.5,.156,1.8,32.3,1985,208cm,106kg,1963-01-21,Power Forward,Small Forward,Power Forward,3,0,0,0
8,9,CLE,Charles Oakley,Virginia Union University,19,1282,40280,12417,12205,3217,.471,.253,.761,31.4,9.7,9.5,2.5,89.7,.107,-0.5,15.4,1985,203cm,102kg,1963-12-18,Center,Power Forward,Center,1,0,2,0
9,10,PHO,Ed Pinckney,Villanova,12,793,15698,5378,3952,727,.535,.000,.765,19.8,6.8,5.0,0.9,42.7,.130,0.3,9.2,1985,206cm,88kg,1963-03-27,Power Forward,Small Forward,Power Forward,0,0,0,0
10,11,CHI,Keith Lee,Memphis,3,182,2907,1114,861,178,.451,.167,.746,16.0,6.1,4.7,1.0,3.7,.062,-3.0,-0.7,1985,208cm,97kg,1962-12-28,Power Forward,Power Forward,Power Forward,0,0,0,0
11,12,WSB,Kenny Green,Wake Forest,2,60,625,265,101,16,.412,.000,.721,10.4,4.4,1.7,0.3,-0.3,-.022,-7.3,-0.8,1985,198cm,95kg,1964-10-11,Small Forward,Small Forward,Small Forward,0,0,0,0
12,13,UTA,Karl Malone,Louisiana Tech,19,1476,54852,36928,14968,5248,.516,.274,.742,37.2,25.0,10.1,3.6,234.6,.205,5.1,99.0,1985,206cm,113kg,1963-07-24,Power Forward,Power Forward,Power Forward,14,14,4,Hall of Fame
13,14,SAS,Alfredrick Hughes,Loyola Chicago,1,68,866,356,113,61,.409,.176,.583,12.7,5.2,1.7,0.9,-0.5,-.029,-5.7,-0.8,1985,196cm,97kg,1962-07-19,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
14,15,DEN,Blair Rasmussen,Oregon,8,532,11409,5119,3006,467,.472,.257,.767,21.4,9.6,5.7,0.9,19.0,.080,-3.2,-3.4,1985,213cm,113kg,1962-11-13,Center,Center,Center,0,0,0,0
15,16,DAL,Bill Wennington,St. John's,13,720,9740,3301,2148,440,.459,.139,.787,13.5,4.6,3.0,0.6,17.7,.087,-3.7,-4.2,1985,213cm,111kg,1963-04-26,Center,Center,Center,0,0,0,0
16,17,DAL,Uwe Blab,Indiana,5,235,1966,505,413,102,.433,,.608,8.4,2.1,1.8,0.4,0.4,.009,-5.4,-1.7,1985,216cm,114kg,1962-03-26,Center,Center,Center,0,0,0,0
17,18,DET,Joe Dumars,McNeese State University,14,1018,35139,16401,2203,4612,.460,.382,.843,34.5,16.1,2.2,4.5,86.2,.118,0.8,25.4,1985,190cm,86kg,1963-05-24,Point Guard,Shooting Guard,Point Guard,6,3,5,Hall of Fame
